country,name,laptime_min,laptime_sec,laptime_thousandth,date,location,competition,category
Republic of Korea,"Lim, Hyo Jun",0,39,670,11/11/18,Salt Lake City USA,ISU Worldcup 2,"Finals, Final A"
Republic of Korea,"Kim, Taesung",0,39,865,07/12/24,Beijing CHN,ISU World Tour 3,Quarterfinals
China,"Wu, Dajing",0,39,878,27/11/21,Dordrecht NED,ISU World Cup 4 - Olympic Qualifying,"Finals, Final A"
Canada,"Dandjinou, William",0,39,937,11/10/25,Montreal CAN,ISU World Tour 1,Semifinals
Republic of Korea,"Ahn, Hyun-Soo",0,39,961,02/11/19,Salt Lake City USA,ISU Worldcup-1,"Finals, Final A"
Russia,"An, Victor",0,39,961,02/11/19,Salt Lake City USA,ISU Worldcup-1,"Finals, Final A"
China,"Wu, Dajing",0,40,14,21/10/21,Beijing CHN,ISU World Cup 1 - Olympic Qualifying,Heats
Canada,"Dandjinou, William",0,40,61,18/10/25,Montreal CAN,ISU World Tour 2,Semifinals
China,"Wu, Dajing",0,40,86,27/11/21,Dordrecht NED,ISU World Cup 4 - Olympic Qualifying,Semifinals
China,"Wu, Dajing",0,40,124,23/10/21,Beijing CHN,ISU World Cup 1 - Olympic Qualifying,Semifinals
Republic of Korea,"Ahn, Hyun-Soo",0,40,146,02/11/19,Salt Lake City USA,ISU Worldcup-1,Semifinals
Russia,"An, Victor",0,40,146,02/11/19,Salt Lake City USA,ISU Worldcup-1,Semifinals
Netherlands,"van 't Wout, Jens",0,40,147,18/10/25,Montreal CAN,ISU World Tour 2,Semifinals
Canada,"Pierre-Gilles, Jordan",0,40,152,02/11/24,Montreal CAN,ISU World Tour 2,Quarterfinals
Canada,"Laoun, Maxime",0,40,157,11/10/25,Montreal CAN,ISU World Tour 1,Quarterfinals
Republic of Korea,"Park, Jiwon",0,40,161,15/03/25,Beijing CHN,ISU World Championships,Quarterfinals
Canada,"Dubois, Steven",0,40,175,11/10/25,Montreal CAN,ISU World Tour 1,Quarterfinals
Poland,"Sellier, Diane",0,40,175,06/12/24,Beijing CHN,ISU World Tour 3,Heats
France,"Sellier, Diané",0,40,175,06/12/24,Beijing CHN,ISU World Tour 3,Heats
Poland,"Sellier, Diane",0,40,195,15/03/25,Beijing CHN,ISU World Championships,Semifinals
France,"Sellier, Diané",0,40,195,15/03/25,Beijing CHN,ISU World Championships,Semifinals
Canada,"Pierre-Gilles, Jordan",0,40,206,07/12/24,Beijing CHN,ISU World Tour 3,Quarterfinals
Netherlands,"van 't Wout, Melle",0,40,222,11/10/25,Montreal CAN,ISU World Tour 1,Quarterfinals
China,"Wu, Dajing",0,40,230,11/02/22,Beijing CHN,Olympic Winter Games,Heats
Republic of Korea,"Lim, Hyo Jun",0,40,231,11/11/18,Salt Lake City USA,ISU Worldcup 2,Semifinals
Canada,"Girard, Samuel",0,40,237,04/11/18,Calgary CAN,ISU Worldcup 1,"Finals, Final A"
Republic of Korea,"Lim, Hyo Jun",0,40,243,03/02/19,Dresden GER,ISU Worldcup 5,"Finals, Final A"
Canada,"Dandjinou, William",0,40,245,18/10/25,Montreal CAN,ISU World Tour 2,Quarterfinals
Republic of Korea,"Park, Jiwon",0,40,249,07/12/24,Beijing CHN,ISU World Tour 3,Semifinals
China,"Sun, Long",0,40,251,18/10/25,Montreal CAN,ISU World Tour 2,Semifinals
China,"Wu, Dajing",0,40,251,27/11/21,Dordrecht NED,ISU World Cup 4 - Olympic Qualifying,Quarterfinals
Republic of Korea,"Kim, Taesung",0,40,255,06/12/24,Beijing CHN,ISU World Tour 3,Heats
Russia,"Ivliev, Konstantin",0,40,272,11/02/22,Beijing CHN,Olympic Winter Games,Heats
Canada,"Dandjinou, William",0,40,276,11/10/25,Montreal CAN,ISU World Tour 1,Quarterfinals
Republic of Korea,"Lim, Hyo Jun",0,40,278,02/11/18,Calgary CAN,ISU Worldcup 1,Heats
Canada,"Pierre-Gilles, Jordan",0,40,280,08/02/25,Tilburg NED,ISU World Tour 5,Quarterfinals
Canada,"Pierre-Gilles, Jordan",0,40,283,08/02/25,Tilburg NED,ISU World Tour 5,Semifinals
Russia,"Eibog, Daniil",0,40,284,21/10/21,Beijing CHN,ISU World Cup 1 - Olympic Qualifying,Heats
Canada,"Laoun, Maxime",0,40,309,18/10/25,Montreal CAN,ISU World Tour 2,Quarterfinals
Netherlands,"van 't Wout, Jens",0,40,324,18/10/25,Montreal CAN,ISU World Tour 2,Quarterfinals
Republic of Korea,"Lim, Hyo Jun",0,40,325,08/02/19,Torino ITA,ISU Worldcup 6,Heats
Canada,"Pierre-Gilles, Jordan",0,40,334,14/03/25,Beijing CHN,ISU World Championships,Heats
Republic of Korea,"Lim, Hyo Jun",0,40,336,01/02/19,Dresden GER,ISU Worldcup 5,Heats
